file,title,discipline,lab,lab_type,has_guide,modified,path
musica-esferas-moderna.html,Música de las Esferas,Astronomy,Astronomy Sound Lab,Sound,Sí,2025-12-18,Astronomy/Astronomy Sound Lab/musica-esferas-moderna.html
ondas-gravitacionales.html,Ondas Gravitacionales,Astronomy,Astronomy Sound Lab,Sound,Sí,2025-12-18,Astronomy/Astronomy Sound Lab/ondas-gravitacionales.html
pulsares.html,Púlsares,Astronomy,Astronomy Sound Lab,Sound,Sí,2025-12-18,Astronomy/Astronomy Sound Lab/pulsares.html
agujero-negro.html,Agujero Negro,Astronomy,Astronomy Visual Lab,Visual,Sí,2025-12-18,Astronomy/Astronomy Visual Lab/agujero-negro.html
diagrama-hr.html,Diagrama H-R,Astronomy,Astronomy Visual Lab,Visual,Sí,2025-12-18,Astronomy/Astronomy Visual Lab/diagrama-hr.html
estaciones.html,Las Estaciones,Astronomy,Astronomy Visual Lab,Visual,Sí,2025-12-18,Astronomy/Astronomy Visual Lab/estaciones.html
expansion-universo.html,Expansión del Universo,Astronomy,Astronomy Visual Lab,Visual,Sí,2025-12-20,Astronomy/Astronomy Visual Lab/expansion-universo.html
fases-lunares.html,Fases Lunares,Astronomy,Astronomy Visual Lab,Visual,Sí,2025-12-18,Astronomy/Astronomy Visual Lab/fases-lunares.html
lentes-gravitacionales.html,Lentes Gravitacionales,Astronomy,Astronomy Visual Lab,Visual,Sí,2025-12-18,Astronomy/Astronomy Visual Lab/lentes-gravitacionales.html
adn-replicacion.html,Replicación ADN,Biochemistry,Biochem Visual Lab,Visual,Sí,2025-12-18,Biochemistry/Biochem Visual Lab/adn-replicacion.html
cadena-respiratoria.html,Cadena Respiratoria,Biochemistry,Biochem Visual Lab,Visual,Sí,2025-12-18,Biochemistry/Biochem Visual Lab/cadena-respiratoria.html
desnaturalizacion.html,Desnaturalización,Biochemistry,Biochem Visual Lab,Visual,Sí,2025-12-18,Biochemistry/Biochem Visual Lab/desnaturalizacion.html
estructura-proteica.html,Estructura Proteica,Biochemistry,Biochem Visual Lab,Visual,Sí,2025-12-18,Biochemistry/Biochem Visual Lab/estructura-proteica.html
fermentacion.html,Fermentación,Biochemistry,Biochem Visual Lab,Visual,Sí,2025-12-18,Biochemistry/Biochem Visual Lab/fermentacion.html
glucolisis.html,Glucólisis,Biochemistry,Biochem Visual Lab,Visual,Sí,2025-12-18,Biochemistry/Biochem Visual Lab/glucolisis.html
krebs.html,Ciclo de Krebs,Biochemistry,Biochem Visual Lab,Visual,Sí,2025-12-18,Biochemistry/Biochem Visual Lab/krebs.html
membrana-fluida.html,Membrana Fluida,Biochemistry,Biochem Visual Lab,Visual,Sí,2025-12-18,Biochemistry/Biochem Visual Lab/membrana-fluida.html
michaelis-menten.html,Michaelis-Menten,Biochemistry,Biochem Visual Lab,Visual,Sí,2025-12-18,Biochemistry/Biochem Visual Lab/michaelis-menten.html
mutaciones.html,Mutaciones,Biochemistry,Biochem Visual Lab,Visual,Sí,2025-12-18,Biochemistry/Biochem Visual Lab/mutaciones.html
plegamiento.html,Plegamiento Proteico,Biochemistry,Biochem Visual Lab,Visual,Sí,2025-12-18,Biochemistry/Biochem Visual Lab/plegamiento.html
regulacion-genica.html,Regulación Génica,Biochemistry,Biochem Visual Lab,Visual,Sí,2025-12-18,Biochemistry/Biochem Visual Lab/regulacion-genica.html
sintesis-proteinas.html,Síntesis de Proteínas,Biochemistry,Biochem Visual Lab,Visual,Sí,2025-12-18,Biochemistry/Biochem Visual Lab/sintesis-proteinas.html
